txn_id,ground_truth_match,noise_type
TXN_00001,UTR_00001,clean
TXN_00002,UTR_00002,clean
TXN_00003,PAY_00003,missing_ref
TXN_00004,,orphan
TXN_00005,PAY_00005,missing_ref
TXN_00006,UTR_00006,clean
TXN_00007,UTR_00007,clean
TXN_00008,UTR_00008,clean
TXN_00009,UTR_00009,rounding
TXN_00010,UTR_00010,clean
TXN_00011,UTR_00011,rounding
TXN_00012,UTR_00012,clean
TXN_00013,UTR_00013,clean
TXN_00014,UTR_00014,clean
TXN_00015,UTR_00015,clean
TXN_00016,UTR_00016,clean
TXN_00017,UTR_00017,clean
TXN_00018,PAY_00018,missing_ref
TXN_00019,UTR_00019,clean
TXN_00020,UTR_00020,clean
TXN_00021,UTR_00021,clean
TXN_00022,UTR_00022,rounding
TXN_00023,UTR_00023,clean
TXN_00024,UTR_00024,clean
TXN_00025,UTR_00025,clean
TXN_00026,UTR_00026,clean
TXN_00027,UTR_00027,clean
TXN_00028,UTR_00028,clean
TXN_00029,UTR_00029,timing_offset
TXN_00030,UTR_00030,rounding
TXN_00031,UTR_00031,clean
TXN_00032,UTR_00032,clean
TXN_00033,UTR_00033,clean
TXN_00034,PAY_00034,missing_ref
TXN_00035,UTR_00035,clean
TXN_00036,UTR_00036,clean
TXN_00037,UTR_00037,clean
TXN_00038,UTR_00038,clean
TXN_00039,UTR_00039,clean
TXN_00040,PAY_00040,missing_ref
TXN_00041,UTR_00041,clean
TXN_00042,UTR_00042,clean
TXN_00043,UTR_00043,clean
TXN_00044,UTR_00044_A|UTR_00044_B,partial_refund
TXN_00045,UTR_00045,clean
TXN_00046,UTR_00046,clean
TXN_00047,UTR_00047,clean
TXN_00048,UTR_00048,clean
TXN_00049,UTR_00049,clean
TXN_00050,UTR_00050_A|UTR_00050_B,duplicate
TXN_00051,UTR_00051,rounding
TXN_00052,UTR_00052,clean
TXN_00053,UTR_00053,rounding
TXN_00054,UTR_00054,clean
TXN_00055,UTR_00055,clean
TXN_00056,UTR_00056,clean
TXN_00057,UTR_00057,clean
TXN_00058,UTR_00058,clean
TXN_00059,UTR_00059,clean
TXN_00060,UTR_00060,clean
TXN_00061,UTR_00061,clean
TXN_00062,UTR_00062,clean
TXN_00063,PAY_00063,missing_ref
TXN_00064,UTR_00064,clean
TXN_00065,UTR_00065,clean
TXN_00066,UTR_00066,clean
TXN_00067,UTR_00067,clean
TXN_00068,UTR_00068,clean
TXN_00069,UTR_00069_A|UTR_00069_B,duplicate
TXN_00070,UTR_00070,clean
TXN_00071,PAY_00071,missing_ref
TXN_00072,UTR_00072,clean
TXN_00073,UTR_00073,clean
TXN_00074,UTR_00074,clean
TXN_00075,UTR_00075,clean
TXN_00076,UTR_00076,rounding
TXN_00077,UTR_00077,clean
TXN_00078,UTR_00078,clean
TXN_00079,UTR_00079,clean
TXN_00080,UTR_00080,clean
TXN_00081,UTR_00081,clean
TXN_00082,UTR_00082,clean
TXN_00083,UTR_00083,clean
TXN_00084,UTR_00084,clean
TXN_00085,UTR_00085,clean
TXN_00086,UTR_00086,clean
TXN_00087,PAY_00087,missing_ref
TXN_00088,UTR_00088,clean
TXN_00089,UTR_00089,clean
TXN_00090,UTR_00090_A|UTR_00090_B,duplicate
TXN_00091,UTR_00091,clean
TXN_00092,UTR_00092,clean
TXN_00093,UTR_00093,clean
TXN_00094,UTR_00094,timing_offset
TXN_00095,PAY_00095,missing_ref
TXN_00096,UTR_00096,clean
TXN_00097,UTR_00097,clean
TXN_00098,UTR_00098,clean
TXN_00099,,orphan
TXN_00100,UTR_00100,clean
TXN_00101,UTR_00101,clean
TXN_00102,UTR_00102,clean
TXN_00103,UTR_00103,clean
TXN_00104,UTR_00104,clean
TXN_00105,UTR_00105_A|UTR_00105_B,partial_refund
TXN_00106,UTR_00106,clean
TXN_00107,PAY_00107,missing_ref
TXN_00108,UTR_00108,rounding
TXN_00109,UTR_00109_A|UTR_00109_B,partial_refund
TXN_00110,UTR_00110_A|UTR_00110_B,duplicate
TXN_00111,UTR_00111,timing_offset
TXN_00112,UTR_00112,clean
TXN_00113,UTR_00113,clean
TXN_00114,UTR_00114,clean
TXN_00115,UTR_00115,clean
TXN_00116,UTR_00116,clean
TXN_00117,UTR_00117,clean
TXN_00118,UTR_00118,clean
TXN_00119,UTR_00119,clean
TXN_00120,UTR_00120,clean
TXN_00121,UTR_00121,clean
TXN_00122,UTR_00122,rounding
TXN_00123,UTR_00123,clean
TXN_00124,UTR_00124_A|UTR_00124_B,partial_refund
TXN_00125,UTR_00125,clean
TXN_00126,PAY_00126,missing_ref
TXN_00127,UTR_00127,rounding
TXN_00128,UTR_00128_A|UTR_00128_B,duplicate
TXN_00129,UTR_00129_A|UTR_00129_B,partial_refund
TXN_00130,UTR_00130,clean
TXN_00131,UTR_00131,clean
TXN_00132,UTR_00132,rounding
TXN_00133,UTR_00133,clean
TXN_00134,UTR_00134,timing_offset
TXN_00135,UTR_00135,clean
TXN_00136,UTR_00136,clean
TXN_00137,UTR_00137,clean
TXN_00138,UTR_00138,clean
TXN_00139,UTR_00139,clean
TXN_00140,PAY_00140,missing_ref
TXN_00141,UTR_00141,clean
TXN_00142,UTR_00142_A|UTR_00142_B,partial_refund
TXN_00143,UTR_00143,rounding
TXN_00144,UTR_00144,clean
TXN_00145,PAY_00145,missing_ref
TXN_00146,UTR_00146,clean
TXN_00147,UTR_00147,clean
TXN_00148,UTR_00148,rounding
TXN_00149,UTR_00149,clean
TXN_00150,UTR_00150,clean
TXN_00151,UTR_00151,clean
TXN_00152,UTR_00152_A|UTR_00152_B,partial_refund
TXN_00153,UTR_00153,clean
TXN_00154,,orphan
TXN_00155,UTR_00155,clean
TXN_00156,UTR_00156,clean
TXN_00157,UTR_00157,rounding
TXN_00158,UTR_00158,rounding
